Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,Financial crisis,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,PSB,Interest,current account,Politics,parliament,protest,Economic crisis,stock market,trade,M0,Investment,World News,Crisis,Cinema,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
32,48,36,92,84,62,34,23,0,15,30,9,0,0,88,68,20,0,0,37,24,0,0,58,0,45,100,0,34,32,37,0,35,43,57,38,17,10,0,39,42,0,0,57,15,0,0,69,60,49,0,55,51,0,0
33,48,34,83,88,60,42,20,0,19,29,7,0,0,94,66,34,0,0,28,25,0,0,54,0,38,0,0,24,33,33,0,38,68,41,27,17,12,0,30,49,0,0,67,17,0,100,0,56,0,0,51,54,0,0
25,39,34,58,62,44,38,16,9,17,24,3,0,0,0,43,16,0,0,24,21,0,0,37,0,35,0,0,0,14,30,0,26,62,27,29,13,7,0,25,40,0,100,56,13,0,0,0,48,34,11,40,30,8,0
24,32,28,56,72,40,39,15,11,14,23,7,0,0,62,45,18,0,0,23,21,0,0,42,0,31,79,0,13,16,26,0,24,39,27,23,12,9,0,27,27,0,0,55,15,90,42,0,43,34,10,39,32,0,0
26,34,23,66,69,69,30,19,13,19,19,7,0,8,41,33,17,0,0,25,15,0,0,41,0,44,0,0,0,22,26,0,26,36,33,26,13,7,0,26,32,0,0,53,13,0,0,56,48,20,0,35,33,0,0
23,31,26,62,60,34,28,21,7,12,17,5,0,0,39,30,15,0,0,22,22,0,0,34,0,39,0,0,12,14,30,0,28,36,28,18,11,8,0,25,33,0,0,51,9,0,0,0,47,28,7,37,26,8,0
22,33,25,61,54,46,27,17,9,14,17,7,0,0,53,37,19,0,0,19,21,0,0,39,0,39,68,0,0,19,25,0,26,36,25,16,11,7,0,21,35,0,0,51,12,0,0,52,43,24,7,39,27,11,0
22,25,25,66,59,36,26,18,0,14,15,5,0,0,49,43,23,0,100,22,16,0,0,34,0,41,63,0,0,15,22,0,20,33,34,25,12,8,0,22,28,0,0,40,10,0,0,0,41,15,0,30,26,0,0
29,36,27,78,72,39,41,18,10,19,29,12,0,8,70,52,16,0,0,26,18,0,0,45,0,50,31,2,0,18,27,0,27,37,49,23,13,8,0,25,26,14,0,50,11,0,26,34,52,35,0,37,31,8,11
26,40,32,78,65,42,46,20,10,18,25,11,0,10,69,53,18,0,0,27,36,0,0,50,0,49,55,9,11,22,32,0,28,42,63,20,13,12,0,29,39,16,0,63,16,85,22,37,53,23,0,46,33,13,7
25,39,39,72,69,51,39,22,11,20,26,20,0,4,82,53,24,0,0,29,24,0,0,61,76,59,61,3,0,18,29,0,28,54,68,26,14,10,0,27,40,0,0,72,15,100,0,47,57,23,5,47,34,9,7
24,33,36,94,64,40,30,24,11,15,21,100,0,7,70,39,18,0,0,26,26,0,0,45,0,51,29,2,8,15,25,0,26,44,70,34,13,9,0,26,31,0,0,50,14,77,28,20,52,19,6,48,33,4,0
26,38,34,78,61,51,36,27,8,17,26,16,0,9,69,43,21,0,0,30,20,0,0,47,0,44,47,0,11,19,29,0,26,56,37,37,14,7,0,26,36,17,0,61,14,55,35,34,55,39,8,46,33,7,11
25,39,30,80,57,56,38,26,11,16,23,7,100,5,72,52,22,0,0,27,24,0,0,51,68,39,70,0,8,23,26,0,26,45,31,34,14,8,0,24,40,17,0,68,14,71,28,44,56,19,4,45,32,4,11
25,37,32,77,60,46,36,25,8,17,23,5,0,5,61,47,22,0,0,25,24,0,0,64,82,30,56,2,0,26,29,0,29,54,32,41,14,9,0,23,45,24,0,69,15,73,36,36,50,25,4,52,35,7,12
24,35,25,74,57,38,35,23,11,14,24,4,0,4,82,37,17,0,0,25,21,0,0,49,59,30,55,2,0,17,25,0,25,49,41,35,13,7,0,26,47,0,0,65,14,63,28,33,48,24,8,38,31,8,9
25,34,33,78,57,44,34,27,10,16,22,5,0,4,100,38,17,100,0,23,23,1,0,45,0,29,27,2,0,12,28,0,26,45,40,27,13,8,0,22,43,0,0,65,14,65,25,34,49,22,7,45,35,8,13
25,33,27,70,65,37,36,24,8,15,21,8,0,6,63,33,19,0,0,24,21,5,0,54,0,29,40,2,0,12,25,0,26,42,31,32,13,8,0,27,39,17,0,68,13,85,21,39,51,23,6,42,33,7,11
22,31,32,69,48,41,31,24,9,13,21,5,0,6,62,31,20,0,0,21,21,7,0,45,0,37,34,1,9,13,29,0,24,35,31,29,12,8,0,23,42,11,0,67,13,64,30,45,54,17,4,41,29,7,5
17,20,20,59,37,30,22,20,5,10,14,4,0,3,27,54,12,0,23,17,12,11,0,32,54,29,29,2,6,9,17,0,16,37,22,25,9,5,0,15,29,8,0,51,8,57,15,25,37,16,3,25,16,5,5
16,17,17,77,36,26,20,17,7,10,11,2,0,0,35,66,13,0,0,15,17,100,0,25,50,23,23,31,4,8,18,0,12,40,37,19,8,5,0,14,26,8,0,62,7,46,19,24,40,15,0,24,14,4,5
16,25,30,64,38,46,23,20,7,10,14,4,0,2,40,41,19,46,22,15,24,18,0,39,54,33,36,2,5,11,26,0,17,35,25,17,9,6,0,18,42,11,0,72,9,68,11,40,52,13,4,39,17,6,4
16,29,37,57,36,42,20,20,6,10,14,3,26,3,43,44,20,0,0,15,16,11,0,44,67,39,52,2,7,10,27,0,19,32,26,16,9,5,0,21,44,9,0,74,10,84,17,31,57,11,3,48,16,6,5
15,25,28,44,33,46,20,21,5,11,11,3,0,2,51,40,20,0,0,15,17,8,0,41,43,31,25,2,4,11,24,0,16,36,23,20,9,6,0,19,46,11,0,87,9,60,19,24,56,10,0,34,16,6,6
14,28,33,44,34,44,20,21,6,11,11,3,0,3,45,39,17,0,0,15,18,5,0,46,44,35,51,4,5,10,31,0,17,39,27,24,10,6,0,20,57,10,0,71,10,96,14,31,51,10,4,42,15,7,4
14,23,36,44,31,46,25,19,6,9,11,3,0,2,35,34,14,0,18,14,16,5,0,40,52,35,47,3,5,9,24,0,17,45,41,18,9,7,0,16,53,14,0,79,9,83,14,24,47,7,4,39,14,7,4
